slot,description,serialno,tool,generic,geometry,flutes,leadang,diameter,stickout,cutLength,overallLength,shankSize,noseRad,helixAngle,coating,toolmaterial,toolFamily,vendor,product,idNo,insNo,sfm,ipt,chipload,useMfgSFM,mfgSFM,useMfgIPT,mfgIPT,xcomp,zcomp,xgeom,zgeom,status,quantity,field1,field2,field3,field4,units,holderType,holderDesc,holderDia,holderLen,comment,clockwise,coolantMode,coolantSupport,shoulderLength,taperAngle2,threadPitch,tipLength,tipDiameter,productLink
1,3/8in 120* Spot Drill,,HSS Spot Drill,false,Normal,2,90,0.375,1.5,1,0,0.375,0,40,Uncoated,HSS,Generic,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
12,1/4in 4Fl Chamfer Bit,,Carbide Endmill,false,Normal,4,45,0.25,1,0.1875,1.1875,0.25,0,40,Uncoated,Carbide,Generic,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,0,0,NaN,0,0, 
13,1/16in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.0625,1.5,1,0,0.0625,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
14,1/8in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.125,1.125,1,0,0.125,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
15,3/16in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.1875,1.125,1,0,0.1875,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
16,1/4in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.25,1.5,1,0,0.25,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
17,5/16in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.3125,1.5,1,0,0.3125,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
18,3/8in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.375,1.5,1,0,0.375,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
19,7/16in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.4375,1.5,1,0,0.4375,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
20,1/2in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.5,1.5,1,0,0.5,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
21,5/8in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.625,1.75,1,0,0.625,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
22,3/4in 4Fl EM,,Carbide Endmill,false,Normal,4,90,0.75,2,1,0,0.75,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
23,1in 4Fl EM,,Carbide Endmill,false,Normal,4,90,1,2,1,0,1,0,40,Uncoated,Carbide,PTS Tools,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,NaN,NaN,NaN,NaN,NaN, 
24,3in 6Fl Face Mill,,Indexable End Or Face Mill,false,Normal,6,90,3,1.563,0.125,2,3,0,40,Uncoated,Carbide,Generic,,,,,1,0,1,false,0,false,0,0,0,0,0,OK,0,,,,,inches,Other,,0,0, ,true, , ,0,0,NaN,0,0, 
